,Post Date,Link,Posts,Number of comments,Number of likes,Image Link,Video(True or False),Interactions,Hashtags,Username,Name,Category,Total Posts,Followers,Following
20,2023 Jun 19 02:02:13,https://www.instagram.com/p/Ctpq7s9v3Qg/,Daddy Appreciation Post ✨Happy Father’s Day Papa And Happy Father’s Day to all the amazing Papas out there!! We love you and appreciate you more than you will ever know 🤍,20243,2633779,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/355059614_1207595073246149_1781479910815065814_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=UpgpMiilm-0AX-nrUCj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBmUl0UgteMFO-MEGs52BTSIegsnnvCnRCBH08nC8EP-Q&oe=64E1DC30&_nc_sid=bc0c2c,False,2654022,,jlo,Jennifer Lopez,Artist,752,250638167,1342
21,2023 Jun 16 23:24:35,https://www.instagram.com/p/CtkPTViytvy/,Bang bang 🩵 #ThisIsMeNow @jlobeauty @hairbylorenzomartin,11595,892778,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/353925326_280279401163523_3782312737252196460_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=JCqlaxZa9xsAX8Cv2Ez&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAxLHuITb_9AVYYe5AR8M3wb8FtaO7X4inTrLfod7By4g&oe=64E0A8FB&_nc_sid=bc0c2c,False,904373,ThisIsMeNow,jlo,Jennifer Lopez,Artist,752,250638167,1342
22,2023 Jun 15 21:00:31,https://www.instagram.com/p/CthaBS6vgjx/,🩷💚🩵 @JLoJenniferLopez x @Revolve drop,7868,715273,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/354019140_582781440626759_7917407201187057976_n.jpg?stp=c0.142.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=jw9ScNTDtjUAX9hJt9z&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCP2EJvfLMulrOqgH6tQk7LedK__pepckBiZg4Qf_xfhQ&oe=64E1F18C&_nc_sid=bc0c2c,False,723141,,jlo,Jennifer Lopez,Artist,752,250638167,1342
23,2023 Jun 13 07:38:10,https://www.instagram.com/p/Cta0nDZLX1C/,FLASH⚡️Premiere @gucci @ash_kholm @JesusHair @TomBachik @RobZangardi @MarielHaenn @jlobeauty,8014,761524,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/353583611_2494189517395320_3259442786268185429_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=kh2NwLhFf9IAX_5eBfC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC7tmKi5HqKJP3KOQOOXoGJwEV-7QXN2D74ykfECt6T3Q&oe=64E17DDD&_nc_sid=bc0c2c,False,769538,,jlo,Jennifer Lopez,Artist,752,250638167,1342
24,2023 Jun 11 21:32:15,https://www.instagram.com/p/CtXKeSrPsJv/,Brunch Time ♥️ Feeling Bella Berry #SundayFunday #DelolaLife @Delola,6124,629586,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/353457241_1876607616073311_2224854390072464184_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=UfCDbgrmVz0AX9lDyZ4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD4kRXMnNEbG0C4K50JTK7RDmcst5hGm1m6aVuXV6qKTw&oe=64E231BC&_nc_sid=bc0c2c,False,635710,"SundayFunday, DelolaLife",jlo,Jennifer Lopez,Artist,752,250638167,1342
25,2023 Jun 10 19:02:46,https://www.instagram.com/p/CtUUFRFMB89/,Thank you!!! to everyone who has been watching #TheMother and helped make it a top 10 movie of all time on @Netflix and hitting #1 worldwide 4 weeks in a row! Thank you so much for watching ✨Celebrate with me this weekend! #Cheers #DelolaLife 🥂 @delola @egt239,10759,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/326712627_581353230792401_2971167737750443344_n.jpg?stp=c0.186.480.480a_dst-jpg_e15&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=uyHuUYJNMikAX8Q9TuK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBl4Poe7EaHn4YkmunSffFCN7ESVLIvvELxbPVzadEl2g&oe=64DE111B&_nc_sid=bc0c2c,True,10758,"TheMother, 1, Cheers, DelolaLife",jlo,Jennifer Lopez,Artist,752,250638167,1342
26,2023 Jun 06 15:01:03,https://www.instagram.com/p/CtJlJHtg31Y/,"Because us hustlers don’t have time for long, complicated routines... my @JLoBeauty skincare routine can be done in 5 mins or less 🤩 Get right, bright and tight skin with @JLoBeauty @Sephora",3291,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/351440670_275176821744408_5544871107286082589_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=-3F7rEHSKskAX_2b2IW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAK91p-EgmAWckZXBktpAOZAUbmrwh6waF-1zp4x6mSXQ&oe=64DDFDED&_nc_sid=bc0c2c,True,3290,,jlo,Jennifer Lopez,Artist,752,250638167,1342
27,2023 Jun 02 03:07:55,https://www.instagram.com/p/Cs9_dyfJHmn/,Our newest little babies have arrived!!!! @JLoBeauty Ultimate Body Trio minis🤩✨ Just dropped on JLoBeauty.com … Get yours today!,2231,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/350564320_783682650035254_975503369948178091_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=wnF0VmBmgegAX9-9rCA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDmGu9Ha8g-s-W2Wmk9UAy2BsvJaVYr8G_fCUaoT9WmwA&oe=64DE1A17&_nc_sid=bc0c2c,True,2230,,jlo,Jennifer Lopez,Artist,752,250638167,1342
28,2023 Jun 01 02:29:22,https://www.instagram.com/p/Cs7KY5JOCGi/,On Wednesdays we Drink Paloma Pink! 💕🩷 @Delola #DelolaLife #PalomaRosa,1552,-1,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/350624830_642413714001234_8138569333332389090_n.jpg?stp=c0.839.2161.2161a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=FZr4XJN_pnUAX9-qwYR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDyxVrS7KL-jQ3DaObH-X-J7r6rV64baO5Af-akLB2Yyg&oe=64DDED8E&_nc_sid=bc0c2c,True,1551,"DelolaLife, PalomaRosa",jlo,Jennifer Lopez,Artist,752,250638167,1342
29,2023 May 29 01:57:26,https://www.instagram.com/p/CszlsONPZM2/,"Summer is finally here ☀️ @Delola is the official drink of the summer … so sit back, open a bottle, pour over ice & enjoy! 🩵 XOXO, Lola #DelolaLife 📸 @gregswalesart",12673,1743810,https://instagram.fsvg1-1.fna.fbcdn.net/v/t51.2885-15/349314214_6296551323754630_6746043471327580631_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fsvg1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=XDZsQQiTDxYAX-XARoh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDfql1zfwTvX_Aoq2xDkO6Rmml8HfX1FpUmJQiGTLTErA&oe=64E1BB65&_nc_sid=bc0c2c,False,1756483,DelolaLife,jlo,Jennifer Lopez,Artist,752,250638167,1342
