,Post Date,Link,Posts,Number of comments,Number of likes,Image Link,Video(True or False),Interactions,Hashtags,Username,Name,Category,Total Posts,Followers,Following
10,2023 May 20 03:45:56,https://www.instagram.com/p/CscmpqTMnfM/,WARRIOR. #TheMother @Netflix@nikicaro @egt239 @lucypaezofficial 📸 @lacarba 🎥 @jasonbergh,7115,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/347617955_973742660729799_1333115398438100375_n.jpg?stp=c0.417.1078.1078a_dst-jpg_e15_s640x640&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=pbXmUnbFv6gAX9I5sZb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCVJQXe7S8c_9gpHApYVXhSUPwYE5uTccN5_KHNqrAGwQ&oe=64DF1869&_nc_sid=bc0c2c,True,7114,TheMother,jlo,Jennifer Lopez,Artist,752,250659153,1343
11,2023 May 16 00:39:04,https://www.instagram.com/p/CsR90vhMmUw/,#THEMOTHER #NuyoricanProductions @nikicaro @egt239 @courtneybaxterr @lucypaezofficial @netflix 📸 @lacarba,6669,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/347031245_1296007374679572_691470428874498103_n.jpg?stp=c0.392.1016.1016a_dst-jpg_e15_s640x640&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=i8gGPdb4Qe8AX8sWjwT&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCqy8cpSKtOJMh2w9Os_fHu1KVTOjc49VGXpyu8jI8Asg&oe=64DF0DA6&_nc_sid=bc0c2c,True,6668,"THEMOTHER, NuyoricanProductions",jlo,Jennifer Lopez,Artist,752,250659153,1343
12,2023 May 14 07:11:57,https://www.instagram.com/p/CsNhLPTRo-P/,Watching #TheMother with my beautiful mothers!!! @Delola watch party 🍷@netflix #DelolaLife #MotherIsAlwaysRight,10911,563320,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/346578953_259900046438882_1256699435709623325_n.jpg?stp=c0.500.1290.1290a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=fTYrjM5efqEAX-ZJO-E&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA0nEvJWMpfxWtVC6iyt9eWg-wHlL25bekPNPz9O0z-9w&oe=64DEE170&_nc_sid=bc0c2c,True,574231,"TheMother, DelolaLife, MotherIsAlwaysRight",jlo,Jennifer Lopez,Artist,752,250659153,1343
13,2023 May 14 02:22:23,https://www.instagram.com/p/CsNAXPsOlER/,A mother’s love is pure animal instinct … #TheMother @Netflix now playing ✨ @nikicaro @egt239,14659,806340,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/346938547_630222232478145_8240787265635817090_n.jpg?stp=c0.500.1290.1290a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=-IS6UNVupDMAX-v88iC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDZw8C8jVhOwPfTl6OBpouNTe-FALV38BPFgpM56RtdGA&oe=64DEE216&_nc_sid=bc0c2c,True,820999,TheMother,jlo,Jennifer Lopez,Artist,752,250659153,1343
14,2023 May 13 02:31:25,https://www.instagram.com/p/CsKc3MDpnbp/,Skin prep by none other than @JLoBeauty for the premiere the other night ✨Have a movie night in with @Netflix #TheMother and your #JLoBeauty essentials from @Sephora + JLoBeauty.com @people 📸: @LaCarba Robe: @intimissimiofficial,3136,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/346692062_160265613445851_2845098302918923494_n.jpg?stp=c0.179.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=fRaDn1Ng2WcAX-1Gqp8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDMgLSn7avrvBpkSaUGDozAg3JQHUa3dj01FkKToCrrDw&oe=64E22E91&_nc_sid=bc0c2c,False,3135,"TheMother, JLoBeauty",jlo,Jennifer Lopez,Artist,752,250659153,1343
15,2023 May 12 16:43:48,https://www.instagram.com/p/CsJZnYnrMVB/,Ready for the weekend 😎✨ #TheMother @Netflix,7354,839552,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/346285140_1265474537719037_6368540274232762775_n.jpg?stp=c0.180.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=9osudd1DtCEAX8_ld3O&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCkBC81zV0sbthFtWCmTW1eKV7YrTCKO1-fFZdcCKCsnw&oe=64E2C224&_nc_sid=bc0c2c,False,846906,TheMother,jlo,Jennifer Lopez,Artist,752,250659153,1343
16,2023 May 11 21:50:45,https://www.instagram.com/p/CsHX8rDv_RR/,Thank you @brunellocucinelli for this beautiful custom suit for my premiere last night!!! 🤍🤍🤍 #TheMother @Netflix @jlobeauty @hairbylorenzomartin @tombachik @robzangardi @marielhaenn @ash_kholm @brunellocucinelli_brand,6517,691168,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/346398395_812342356916023_7974740252739117618_n.jpg?stp=c0.157.1259.1259a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Z6hROLJsoYcAX_NW1Tx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBVEPUA-ElYmQSSuuYOqd95Ipq1WFQ2D7bCAFWJ-_nvXQ&oe=64E298DD&_nc_sid=bc0c2c,False,697685,TheMother,jlo,Jennifer Lopez,Artist,752,250659153,1343
17,2023 May 10 17:20:34,https://www.instagram.com/p/CsET1lXLHhf/,Strong female leads can’t get more badass than this 👊 #TheMother premieres THIS FRIDAY only on Netflix. @lucypaezofficial @nikicaro @egt239 🎥 @jasonbergh 📸 @lacarba,2519,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/345550553_1229830314562503_8234090700882141186_n.jpg?stp=c0.502.1290.1290a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=1E9VNk2YKMIAX9u3rP_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB7Y8dvaqmwzipmW33pAfpWrrP0JO7RPEHexchiQEi7Kg&oe=64DEF3C3&_nc_sid=bc0c2c,True,2518,TheMother,jlo,Jennifer Lopez,Artist,752,250659153,1343
18,2023 May 07 23:58:16,https://www.instagram.com/p/Cr9S_Gvrh-r/,"To all the badass moms out there, With Love. 🤍Share and tag this with the badass mom in your life. #TheMother on @Netflix in #5Days #HappyMothersDay",2893,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/345056122_549919920651037_6350280839604050590_n.jpg?stp=c0.503.1288.1288a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=bAyw8JMQYngAX-UXD_E&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAbP2QHBwrDObeM9HtQX1sjwEhwb9i4jzQihLmQX_9Dhw&oe=64DEB39A&_nc_sid=bc0c2c,True,2892,"TheMother, 5Days, HappyMothersDay",jlo,Jennifer Lopez,Artist,752,250659153,1343
19,2023 May 06 19:04:21,https://www.instagram.com/p/Cr6MlOZuGpP/,#TheMother special screenings NY 🏙️ @netflix @nikicaro @egt239 @lucypaezofficial #NuyoricanProductions,1660,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/344908782_199890472485145_8571466995877630853_n.jpg?stp=c0.524.1352.1352a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=6HdoNhVymqUAX9xSvdp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAQfR5ELpICQCDtionGD4V8TDOLFxYu2ycfzdyx-Tl96Q&oe=64DEF1C3&_nc_sid=bc0c2c,True,1659,"TheMother, NuyoricanProductions",jlo,Jennifer Lopez,Artist,752,250659153,1343
20,2023 May 03 23:49:59,https://www.instagram.com/p/Cry-dUhO5mB/,BTS #TrainingDays for #TheMother…. @Netflix May 12@nikicaro @egt239 @gaelgarciab @lucypaezofficial @courtneybaxterr,11584,1038961,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/344792201_262454202929259_1899713789033235118_n.jpg?stp=c0.503.1288.1288a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=_y78XN4Fjs8AX-ajvFu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfANMwisK29TjDDV7vZwDP5eZljsunsE53NKQCqlHlmMtQ&oe=64DF0A1C&_nc_sid=bc0c2c,True,1050545,"TrainingDays, TheMother",jlo,Jennifer Lopez,Artist,752,250659153,1343
21,2023 May 03 20:26:53,https://www.instagram.com/p/Cryn_VaOqzT/,#THEMOTHER 🐆 @livekellyandmark @jlobeauty,4588,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/344763122_902312810856092_554289532504162022_n.jpg?stp=c0.177.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=HzDjV0LqfYIAX8gIK6d&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFM_2YcbqTai5tuH4Q90eWzusdXy1qFRX_YM0E9VPJ6w&oe=64E15261&_nc_sid=bc0c2c,False,4587,THEMOTHER,jlo,Jennifer Lopez,Artist,752,250659153,1343
22,2023 May 03 17:09:51,https://www.instagram.com/p/CryRcOXsq-_/,Good morning TODAY SHOW!☀️#TheMother @todayshow,3788,-1,https://instagram.fosl1-1.fna.fbcdn.net/v/t51.2885-15/344796189_4159768497496218_3561058292117748157_n.jpg?stp=c0.177.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fosl1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=744EzUH2jm8AX9nkWru&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBb4Q3w5-iyJtszhcETWd3J-_jeTXqFiPsuevmMfG_JeQ&oe=64E1CE1E&_nc_sid=bc0c2c,False,3787,TheMother,jlo,Jennifer Lopez,Artist,752,250659153,1343
